epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,994.055,0.79189,0.3828,0.01845,0.99489,0.9773,0.99416,0.84499,0.68658,0.20972,0.01881,0.0004085,0.0004085,0.0004085
70,1008.52,0.78744,0.38966,0.01806,0.97126,0.99468,0.99388,0.83238,0.70969,0.21338,0.01977,0.000396125,0.000396125,0.000396125
71,1022.43,0.76765,0.377,0.01756,0.97971,0.98917,0.99403,0.86393,0.61721,0.21063,0.01671,0.00038375,0.00038375,0.00038375
72,1035.86,0.77085,0.38639,0.01798,0.98071,0.98977,0.99401,0.83452,0.67725,0.20986,0.01887,0.000371375,0.000371375,0.000371375
73,1049.17,0.74837,0.35406,0.01745,0.98747,0.9898,0.99451,0.8469,0.63764,0.19547,0.01745,0.000359,0.000359,0.000359
74,1062.45,0.7583,0.37791,0.01762,0.99435,0.98987,0.99477,0.8518,0.62734,0.18555,0.01715,0.000346625,0.000346625,0.000346625
75,1075.66,0.74177,0.35149,0.0172,0.99368,0.98764,0.99467,0.85061,0.64665,0.18889,0.01762,0.00033425,0.00033425,0.00033425
76,1089.07,0.73866,0.34507,0.01665,0.98554,0.9907,0.99452,0.85455,0.64205,0.1894,0.01721,0.000321875,0.000321875,0.000321875
77,1102.43,0.74049,0.34455,0.01734,0.99511,0.98775,0.99474,0.84467,0.68279,0.1972,0.0185,0.0003095,0.0003095,0.0003095
78,1115.65,0.73407,0.3583,0.01726,0.9826,0.99312,0.9941,0.84005,0.69681,0.20116,0.01908,0.000297125,0.000297125,0.000297125
79,1129.05,0.73932,0.34832,0.01744,0.99543,0.98715,0.99479,0.86226,0.63675,0.17728,0.0173,0.00028475,0.00028475,0.00028475
80,1142.65,0.73153,0.33728,0.01692,0.99165,0.98219,0.99469,0.87114,0.60609,0.17805,0.01618,0.000272375,0.000272375,0.000272375
81,1158.23,0.52272,0.17769,0.01456,0.99372,0.98577,0.99473,0.8401,0.68733,0.20182,0.01874,0.00026,0.00026,0.00026
82,1171.6,0.50088,0.16546,0.01397,0.99323,0.99146,0.99487,0.85489,0.64948,0.17943,0.01745,0.000247625,0.000247625,0.000247625
83,1184.73,0.50752,0.16426,0.01412,0.99055,0.99139,0.99469,0.86032,0.61565,0.18535,0.01674,0.00023525,0.00023525,0.00023525
84,1199.52,0.50302,0.16099,0.01406,0.99421,0.99052,0.9949,0.85264,0.62603,0.18704,0.0169,0.000222875,0.000222875,0.000222875
85,1212.64,0.50198,0.15937,0.01401,0.98609,0.9935,0.99465,0.86463,0.58078,0.18939,0.01566,0.0002105,0.0002105,0.0002105
86,1225.73,0.48354,0.15622,0.01322,0.99296,0.98268,0.99485,0.86498,0.60768,0.18708,0.0164,0.000198125,0.000198125,0.000198125
87,1238.77,0.48819,0.15444,0.01335,0.99638,0.99314,0.99495,0.86036,0.60694,0.17423,0.01649,0.00018575,0.00018575,0.00018575
88,1251.85,0.48372,0.15552,0.01318,0.97685,0.98206,0.99431,0.86347,0.62004,0.19506,0.01687,0.000173375,0.000173375,0.000173375
89,1265.01,0.48263,0.16075,0.01315,0.99303,0.98907,0.99482,0.87136,0.58282,0.17313,0.01568,0.000161,0.000161,0.000161
90,1278.14,0.46962,0.15452,0.0129,0.99576,0.99083,0.99482,0.87284,0.57734,0.17511,0.01552,0.000148625,0.000148625,0.000148625
91,1291.12,0.4748,0.15363,0.01293,0.99395,0.99138,0.99477,0.8684,0.58893,0.17733,0.01593,0.00013625,0.00013625,0.00013625
92,1304.24,0.46455,0.15372,0.01288,0.99096,0.98667,0.99482,0.86013,0.61947,0.18421,0.01676,0.000123875,0.000123875,0.000123875
93,1317.19,0.46432,0.14879,0.01286,0.99649,0.98568,0.99467,0.86779,0.60673,0.17901,0.01634,0.0001115,0.0001115,0.0001115
94,1330.4,0.46887,0.14894,0.01277,0.99298,0.99137,0.9949,0.86185,0.59993,0.17318,0.01627,9.9125e-05,9.9125e-05,9.9125e-05
95,1344.06,0.46833,0.15186,0.01289,0.99486,0.99097,0.99492,0.86139,0.61494,0.17788,0.01668,8.675e-05,8.675e-05,8.675e-05
96,1357.29,0.45335,0.14732,0.01268,0.99501,0.99607,0.99492,0.85938,0.61212,0.17922,0.01672,7.4375e-05,7.4375e-05,7.4375e-05
97,1371.14,0.43592,0.14188,0.01195,0.98811,0.99962,0.99485,0.87009,0.58724,0.17458,0.01589,6.2e-05,6.2e-05,6.2e-05
98,1384.8,0.45536,0.14642,0.01226,0.99003,0.99533,0.99492,0.86208,0.60116,0.17652,0.01632,4.9625e-05,4.9625e-05,4.9625e-05
99,1399.13,0.44802,0.1476,0.01239,0.98974,0.99508,0.99487,0.86647,0.60096,0.18373,0.01627,3.725e-05,3.725e-05,3.725e-05
100,1412.6,0.43899,0.14533,0.0118,0.99889,0.99104,0.99487,0.86825,0.59691,0.17629,0.01611,2.4875e-05,2.4875e-05,2.4875e-05
