epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1408.54,0.49763,0.21214,0.00855,0.99168,0.99035,0.99493,0.90373,0.41373,0.14572,0.01144,0.000321875,0.000321875,0.000321875
77,1426.83,0.49785,0.21186,0.00854,0.99302,0.9923,0.99498,0.91491,0.3832,0.1326,0.01041,0.0003095,0.0003095,0.0003095
78,1444.62,0.49472,0.2126,0.00828,0.99763,0.99363,0.995,0.9082,0.39639,0.12772,0.01095,0.000297125,0.000297125,0.000297125
79,1463.01,0.49221,0.21404,0.00835,0.99603,0.98681,0.99479,0.91238,0.38678,0.1372,0.01044,0.00028475,0.00028475,0.00028475
80,1481.29,0.47812,0.20995,0.00813,0.99577,0.98927,0.99488,0.90522,0.39025,0.13251,0.01072,0.000272375,0.000272375,0.000272375
81,1499.49,0.48444,0.20957,0.00809,0.99337,0.99641,0.995,0.91732,0.38167,0.12409,0.01046,0.00026,0.00026,0.00026
82,1517.62,0.49191,0.20688,0.00817,0.98856,0.99877,0.99498,0.90908,0.37676,0.12385,0.01028,0.000247625,0.000247625,0.000247625
83,1535.87,0.48116,0.20324,0.00826,0.99777,0.98817,0.9949,0.90917,0.40068,0.14248,0.0111,0.00023525,0.00023525,0.00023525
84,1553.96,0.47943,0.20579,0.00819,0.9942,0.99087,0.99496,0.90804,0.39023,0.13134,0.01076,0.000222875,0.000222875,0.000222875
85,1572.39,0.47131,0.19977,0.00774,0.99001,0.98906,0.995,0.91272,0.38929,0.14361,0.0107,0.0002105,0.0002105,0.0002105
86,1590.29,0.47166,0.19455,0.00787,0.99364,0.99,0.99485,0.91173,0.38366,0.13339,0.0107,0.000198125,0.000198125,0.000198125
87,1608.32,0.46905,0.19418,0.00794,0.98538,0.99681,0.99476,0.9122,0.38184,0.12822,0.01048,0.00018575,0.00018575,0.00018575
88,1626.39,0.46877,0.19959,0.0078,0.99662,0.99366,0.9948,0.91654,0.38464,0.12375,0.01058,0.000173375,0.000173375,0.000173375
89,1643.72,0.45947,0.1952,0.00768,0.99214,1,0.995,0.91266,0.3824,0.12238,0.01052,0.000161,0.000161,0.000161
90,1660.75,0.46729,0.20513,0.00774,0.99686,0.99599,0.995,0.90574,0.38601,0.12664,0.01066,0.000148625,0.000148625,0.000148625
91,1680.71,0.33851,0.13612,0.00769,0.99587,0.99189,0.99481,0.91076,0.39488,0.13674,0.01081,0.00013625,0.00013625,0.00013625
92,1697.66,0.31607,0.11913,0.00693,0.99672,0.99389,0.995,0.91438,0.39487,0.13309,0.01104,0.000123875,0.000123875,0.000123875
93,1714.38,0.30808,0.11556,0.00667,0.99142,0.98775,0.99479,0.91091,0.3884,0.13282,0.01074,0.0001115,0.0001115,0.0001115
94,1731.43,0.30141,0.11362,0.0065,0.97963,0.99858,0.99462,0.91799,0.37479,0.13391,0.01022,9.9125e-05,9.9125e-05,9.9125e-05
95,1748.26,0.3,0.11201,0.00645,0.99752,0.99224,0.9949,0.91171,0.38661,0.12445,0.01052,8.675e-05,8.675e-05,8.675e-05
96,1765.85,0.29774,0.10927,0.00631,0.99656,0.99938,0.995,0.91275,0.38213,0.1198,0.01047,7.4375e-05,7.4375e-05,7.4375e-05
97,1782.99,0.30094,0.11269,0.00626,0.97844,0.9964,0.99385,0.91702,0.37735,0.13945,0.01027,6.2e-05,6.2e-05,6.2e-05
98,1800.05,0.28759,0.10211,0.0061,0.98993,0.98875,0.99426,0.9161,0.37769,0.13538,0.01031,4.9625e-05,4.9625e-05,4.9625e-05
99,1817,0.28515,0.1049,0.00611,0.9971,0.9902,0.99472,0.91896,0.37636,0.12445,0.01023,3.725e-05,3.725e-05,3.725e-05
100,1833.98,0.28191,0.10923,0.00605,0.99291,0.99395,0.99495,0.92093,0.37475,0.13106,0.01018,2.4875e-05,2.4875e-05,2.4875e-05
