,head-top,head-left,head-right,neck,left-eye,right-eye,right-antenna-0,left-antenna-0,thorax-left,thorax-right,thorax-bottom,left-forewing-base,right-forewing-base,right-hindwing-base,left-hindwing-base,body-left,body-right,body-tip,left-leg-0,right-leg-0,coleoptera,diptera,hymenoptera,lepidoptera,right-antenna-1,right-antenna-2,left-antenna-1,left-antenna-2,left-forewing-tip,left-forewing-front,left-forewing-rear,right-forewing-tip,right-forewing-front,right-forewing-rear,left-hindwing-tip,left-hindwing-front,left-hindwing-rear,right-hindwing-tip,right-hindwing-front,right-hindwing-rear,left-leg-1,left-leg-2,left-leg-3,right-leg-1,right-leg-2,right-leg-3
right hind wing length,,,,0.007375570312816452,,,,,0.011447492625922383,0.013829703025642756,0.010084940103370873,0.011247556892597838,0.017448791585891618,0.17790007981760228,0.18763011809968627,,,,,,0.016330622424454603,0.01203501109813697,0.0053532882561718054,0.1032167227018861,,,,,,,,,,,,,,0.10542792377724067,0.12833361994533704,0.19233855933324237,,,,,,
left hind wing width,,,,,,,,,,,,,,,0.13335514078811714,,,,,,0.01713387292386548,0.01689475528133868,0.008960071158470789,0.1838020392405515,,,,,,,,,,,0.20506288513855458,0.14095994365972542,0.2938312918093764,,,,,,,,,
right hind wing width,,,,,,,,,,,,,,0.19459589976313968,,,,,,,0.017743382181907904,0.016962524954634246,0.009451188339831655,0.18582286503601608,,,,,,,,,,,,,,0.17376268250955051,0.1307074387730761,0.27095401844184397,,,,,,
left fore wing length,,,,0.03673917856768643,,,,,0.06227935447474545,0.05925272802675334,0.03216772489294058,0.040303798213574604,0.03573761102181491,0.07658327154467533,0.07957193409240126,,,,,,0.06234934551808697,0.024474806217861654,0.08723221004519598,0.052370385548104,,,,,0.09344093627843364,0.13488595663808847,0.12261075891963721,,,,,,,,,,,,,,,
right fore wing length,,,,0.036433902822411844,,,,,0.05843354311187307,0.0716084822841966,0.03168337964246696,0.04219120617555439,0.03802646576764031,0.07603732896453826,0.0769129358988494,,,,,,0.06834571316826753,0.02602271106459952,0.09091662241273214,0.04031060561116262,,,,,,,,0.09515227100395916,0.15533890553028523,0.09258592654146293,,,,,,,,,,,,
left fore wing width,,,,,,,,,,,,0.1708136377988525,,,,,,,,,0.032402531039384556,0.04707205681335726,0.03615955442649554,0.1880039241347114,,,,,0.208159136091868,0.1609891480119078,0.15640001168342293,,,,,,,,,,,,,,,
right fore wing width,,,,,,,,,,,,,0.1507080051378755,,,,,,,,0.04568240958413278,0.06129591674244372,0.030155437831675912,0.17563924428867664,,,,,,,,0.18005948315826906,0.1551025697097985,0.201356933547128,,,,,,,,,,,,
left hind leg length,,,,,,,,,,,0.04510047608800273,,,,,0.04528109133965372,0.04171541823614033,0.04881958972609658,0.24642280747574402,0.19060392239893134,0.023559740118500986,0.01244508620039111,0.14100878897447605,0.005621771595532075,,,,,,,,,,,,,,,,,0.06379600893441803,0.07454234029150325,0.061082958620609605,,,
left hind leg femur length,,,,,,,,,,,0.03591673106963793,,,,,0.037471253449780736,0.05098406501895485,0.062236497000860085,0.20524397609785566,0.16911583246039624,0.04094760803887212,0.013930606579120325,0.16486404717700573,0.003434730491256999,,,,,,,,,,,,,,,,,0.0559929976730847,0.08326656961248412,0.07659508533069057,,,
left hind leg tibia length,,,,,,,,,,,,,,,,,,,0.09429542209300114,,0.045655379823923765,0.0270965724676792,0.012477088234060218,0.027538690062623754,,,,,,,,,,,,,,,,,0.20357668937650605,0.3268646331833402,0.2624955247588657,,,
left hind leg tarsus length,,,,,,,,,,,,,,,,,,,0.08896181846623599,,0.059810975536885996,0.02776510397639286,0.0107882635902197,0.021944454348054105,,,,,,,,,,,,,,,,,0.17899359909388782,0.2951019173784987,0.31663386760982476,,,
right hind leg length,,,,,,,,,,,0.032336441617362155,,,,,0.04172156120606396,0.040042118271182044,0.059609042503291264,0.20419545305091907,0.22805109743163987,0.01606309814954369,0.006310016109431316,0.1586059335685418,0.00349999681765737,,,,,,,,,,,,,,,,,,,,0.07856254214371597,0.05423073194420858,0.076771967186443
right hind leg femur length,,,,,,,,,,,0.043470948579195534,,,,,0.038486071781924286,0.05764629690160262,0.07716188046446167,0.17436498492934918,0.16519448186714553,0.025425918263633912,0.011100725716235627,0.2168229922370353,0.004139014892715065,,,,,,,,,,,,,,,,,,,,0.06526198671533136,0.05453711731560606,0.06638758033576368
right hind leg tibia length,,,,,,,,,,,,,,,,,,,,0.09140463907697252,0.03697055458162154,0.02125510990724757,0.01697273003892484,0.033968650741848426,,,,,,,,,,,,,,,,,,,,0.2374437209920093,0.3119386408246431,0.25004595383673256
right hind leg tarsus length,,,,,,,,,,,,,,,,,,,,0.07474593443092098,0.05628329697973846,0.01973460751012093,0.008474718988911141,0.02980691570450515,,,,,,,,,,,,,,,,,,,,0.17349515621168393,0.3112580808085185,0.3262012893656009
