measure,model,n,prevalence_unmeasurable,mcc,average_precision,average_precision_norm,accuracy,accuracy_unmeasurable,accuracy_measurable,balanced_accuracy,precision_unmeasurable,threshold_median,tn,fp,fn,tp
left fore wing width,rf_related,1199,0.44203502919099247,0.6995783723805081,0.8276224374346218,0.691060242876101,0.8373644703919934,0.9528301886792453,0.7458893871449925,0.8493597879121189,0.7481481481481481,0.4251638240645216,499,170,25,505
right fore wing width,rf_related,1199,0.4462051709758132,0.72544754906762,0.8785158326430907,0.7806332580407618,0.8565471226021685,0.9345794392523364,0.7936746987951807,0.8641270690237586,0.7849293563579278,0.4319789599342432,527,137,35,500
left hind leg length,rf_related,1199,0.97581317764804,0.3853642345334216,0.9953111222697244,0.8061391586689507,0.9349457881567973,0.9401709401709402,0.7241379310344828,0.8321544356027115,0.9927797833935018,0.8619697118812413,21,8,70,1100
left hind leg femur length,rf_related,1199,0.9683069224353628,0.4154736605885413,0.9939777434934312,0.8099819591743148,0.9557964970809008,0.9698535745047373,0.5263157894736842,0.7480846819892107,0.9842657342657343,0.6841830550464111,20,18,35,1126
left hind leg tibia length,rf_related,1199,0.6505421184320267,0.670359580645735,0.945748418524314,0.8447550210278103,0.8523769808173478,0.908974358974359,0.747016706443914,0.8279955327091365,0.8699386503067484,0.36057490453051133,313,106,71,709
left hind leg tarsus length,rf_related,1199,0.6488740617180984,0.6970351393564794,0.9282353560109058,0.7956156576177579,0.8640533778148457,0.9203084832904884,0.7600950118764845,0.8402017475834864,0.8763769889840881,0.46555645399036477,320,101,62,716
right hind leg length,rf_related,1199,0.9791492910758965,0.4168300421569188,0.9958321990937528,0.8001122685363826,0.9641367806505421,0.9718909710391823,0.6,0.7859454855195911,0.9913119026933102,0.7631389089360202,15,10,33,1141
right hind leg femur length,rf_related,1199,0.9708090075062552,0.3989675315909157,0.9978556649269879,0.926541207070241,0.9599666388657214,0.9742268041237113,0.4857142857142857,0.7299705449189985,0.984375,0.6593498772661761,17,18,30,1134
right hind leg tibia length,rf_related,1199,0.6655546288573811,0.6699557609279458,0.9307744330451664,0.793013828481682,0.8565471226021685,0.9548872180451128,0.6608478802992519,0.8078675491721823,0.8485523385300668,0.2554656612660248,265,136,36,762
right hind leg tarsus length,rf_related,1199,0.6388657214345288,0.7409230705898635,0.9421939576601628,0.8399319982321829,0.8815679733110926,0.922976501305483,0.8083140877598153,0.8656452945326492,0.8949367088607595,0.5504795612299551,350,83,59,707
